tfidf,bm25,embedding,section_aware,P@5,R@5,nDCG@5,MAP,MRR,P@10,R@10,nDCG@10
0.05,0.1,0.0,0.75,0.4,0.3219047619047619,0.9893804859051949,0.3461693121693122,1.0,0.26,0.40523809523809523,0.9416225513352412
0.0,0.1,0.0,0.8,0.36000000000000004,0.2819047619047619,0.9839441578296375,0.31642857142857145,1.0,0.24,0.3719047619047619,0.9630892964244545
0.05,0.05,0.0,0.8,0.36000000000000004,0.2819047619047619,0.9839441578296375,0.3163392857142857,1.0,0.24,0.3719047619047619,0.9636849461140242
0.05,0.05,0.05,0.75,0.36000000000000004,0.2819047619047619,0.9839441578296375,0.31460317460317455,1.0,0.24,0.3719047619047619,0.9628113401408223
0.0,0.1,0.05,0.75,0.36000000000000004,0.2819047619047619,0.9839441578296375,0.31246031746031744,1.0,0.24,0.3719047619047619,0.9611342828358918
0.05,0.05,0.15,0.65,0.32,0.25690476190476186,0.9839441578296375,0.2941269841269841,1.0,0.21999999999999997,0.34690476190476194,0.9633427628935388
0.05,0.05,0.1,0.7,0.36000000000000004,0.2819047619047619,0.980522574220975,0.31246031746031744,1.0,0.24,0.3719047619047619,0.9623059481780644
0.0,0.1,0.1,0.7,0.36000000000000004,0.2819047619047619,0.980522574220975,0.2924603174603175,1.0,0.21999999999999997,0.34690476190476194,0.9615976179594545
0.0,0.1,0.15,0.65,0.32,0.25690476190476186,0.9754430630676099,0.2808333333333333,1.0,0.21999999999999997,0.34690476190476194,0.9523263149530141
0.15,0.1,0.15,0.5,0.4,0.3302380952380952,0.9386852807234541,0.384537037037037,0.9,0.32,0.519047619047619,0.876040633724777
0.0,0.05,0.0,0.85,0.32,0.25690476190476186,0.9386852807234541,0.28048214285714285,0.9,0.24,0.3719047619047619,0.9189994704387985
0.0,0.05,0.1,0.75,0.32,0.25690476190476186,0.9386852807234541,0.26607142857142857,0.9,0.21999999999999997,0.34690476190476194,0.922713081602575
0.0,0.05,0.05,0.8,0.32,0.25690476190476186,0.9386852807234541,0.26374603174603173,0.9,0.21999999999999997,0.34690476190476194,0.9208501233870854
0.1,0.1,0.2,0.5,0.36,0.2969047619047619,0.9261859507142916,0.3653458049886621,0.9,0.32,0.5154761904761905,0.8597100176381677
0.1,0.1,0.1,0.6,0.36,0.2969047619047619,0.9261859507142916,0.35523809523809524,0.9,0.3,0.4821428571428571,0.8579515123482591
0.1,0.1,0.15,0.55,0.36,0.2969047619047619,0.9261859507142916,0.35404761904761906,0.9,0.3,0.4821428571428571,0.8562744550433283
0.1,0.1,0.05,0.65,0.4,0.3219047619047619,0.9261859507142916,0.3461011904761905,0.9,0.28,0.44214285714285717,0.8708669321620655
0.1,0.1,0.0,0.7,0.4,0.3219047619047619,0.9261859507142916,0.34261904761904766,0.9,0.26,0.4135714285714286,0.9140016901302858
0.1,0.15,0.05,0.6,0.44000000000000006,0.35523809523809524,0.9248101040007676,0.36948412698412697,0.9,0.3,0.4821428571428571,0.8733336165501988
0.1,0.15,0.0,0.65,0.44000000000000006,0.35523809523809524,0.9248101040007676,0.36812358276643986,0.9,0.3,0.4821428571428571,0.8705286087042632
0.1,0.15,0.1,0.55,0.44000000000000006,0.35523809523809524,0.9213885203921052,0.37781746031746033,0.9,0.32,0.5154761904761905,0.872119477426296
0.1,0.1,0.25,0.45,0.36,0.2969047619047619,0.9196795474121254,0.3575680272108843,0.9,0.32,0.5154761904761905,0.8554245378159686
0.1,0.0,0.0,0.8,0.4,0.3219047619047619,0.9196795474121254,0.3330952380952381,0.9,0.26,0.40523809523809523,0.8736917542097121
0.05,0.15,0.1,0.6,0.36,0.2969047619047619,0.9196795474121254,0.32800595238095237,0.9,0.28,0.44214285714285717,0.8608694854929707
0.05,0.15,0.0,0.7,0.4,0.3219047619047619,0.9196795474121254,0.3191964285714286,0.9,0.24,0.3802380952380952,0.9047070498391807
0.1,0.05,0.0,0.75,0.4,0.3219047619047619,0.9162579638034629,0.33107142857142857,0.9,0.26,0.40523809523809523,0.8724238563268788
0.05,0.15,0.05,0.65,0.4,0.3219047619047619,0.9162579638034629,0.3241964285714286,0.9,0.26,0.4135714285714286,0.9016335211789945
0.1,0.1,0.3,0.4,0.36,0.2969047619047619,0.9155664366194864,0.3365396825396825,0.9,0.3,0.4904761904761905,0.8573880630417798
0.1,0.1,0.4,0.3,0.36,0.2969047619047619,0.9155664366194864,0.3323174603174603,0.9,0.3,0.5054761904761905,0.8253948200133301
0.1,0.1,0.35,0.35,0.36,0.2969047619047619,0.9155664366194864,0.3265396825396826,0.9,0.27999999999999997,0.4654761904761905,0.8684445420262163
0.0,0.2,0.0,0.7,0.4,0.3219047619047619,0.9155664366194864,0.3215297619047619,0.9,0.24,0.3719047619047619,0.9079066543495766
0.05,0.1,0.05,0.7,0.36,0.2969047619047619,0.9155664366194864,0.32116931216931216,0.9,0.26,0.40523809523809523,0.891856751951886
0.0,0.2,0.05,0.65,0.4,0.3219047619047619,0.9121448530108239,0.30557738095238096,0.9,0.24,0.37547619047619046,0.8658286890342991
0.2,0.0,0.0,0.7,0.44000000000000006,0.35523809523809524,0.9101301085439291,0.39015873015873015,0.9,0.32,0.5071428571428571,0.8371618880364817
0.0,0.15,0.0,0.75,0.36000000000000004,0.2819047619047619,0.9101301085439291,0.3041964285714286,0.9,0.24,0.3719047619047619,0.8927418772444492
0.0,0.15,0.05,0.7,0.32,0.25690476190476186,0.9101301085439291,0.2918154761904762,0.9,0.24,0.3719047619047619,0.8861264804712192
0.1,0.2,0.0,0.6,0.44000000000000006,0.35523809523809524,0.9087542618304051,0.38235449735449734,0.8666666666666668,0.32,0.5154761904761905,0.8680578876705066
0.05,0.15,0.15,0.55,0.36,0.2969047619047619,0.9073910378212281,0.3273809523809524,0.9,0.30000000000000004,0.4754761904761905,0.8516098263202453
0.1,0.05,0.2,0.55,0.36,0.2969047619047619,0.9073910378212281,0.30802380952380953,0.9,0.25999999999999995,0.42023809523809524,0.8761282447388398
0.1,0.05,0.25,0.5,0.36,0.2969047619047619,0.9073910378212281,0.3066349206349206,0.9,0.26000000000000006,0.42857142857142866,0.882786347795283
0.1,0.0,0.2,0.6,0.36,0.2969047619047619,0.9073910378212281,0.3061455026455026,0.9,0.25999999999999995,0.42023809523809524,0.8473545113800984
0.65,0.15,0.0,0.1,0.8,0.6592857142857143,0.904862787516792,0.7060634920634921,0.8666666666666666,0.52,0.8630952380952381,0.902730765171178
0.6,0.15,0.05,0.1,0.8,0.6592857142857143,0.904862787516792,0.7040793650793651,0.8666666666666666,0.52,0.8630952380952381,0.901857159197976
0.55,0.15,0.05,0.15,0.8,0.6592857142857143,0.904862787516792,0.7011031746031746,0.8666666666666666,0.52,0.8630952380952381,0.9006451053198546
0.55,0.15,0.1,0.1,0.8,0.6592857142857143,0.904862787516792,0.7011031746031746,0.8666666666666666,0.52,0.8630952380952381,0.9006451053198546
0.6,0.1,0.0,0.2,0.8,0.6592857142857143,0.904862787516792,0.6974523809523809,0.8666666666666666,0.52,0.8630952380952381,0.8993275099660643
0.6,0.1,0.05,0.15,0.8,0.6592857142857143,0.904862787516792,0.6974523809523809,0.8666666666666666,0.52,0.8630952380952381,0.8993275099660643
0.6,0.15,0.0,0.15,0.76,0.6192857142857143,0.904862787516792,0.6974126984126985,0.8666666666666666,0.52,0.8630952380952381,0.8997784042354067
0.55,0.1,0.15,0.1,0.76,0.6342857142857142,0.904862787516792,0.6941587301587301,0.8666666666666666,0.52,0.8630952380952381,0.8975872029084145
0.55,0.1,0.1,0.15,0.8,0.6592857142857143,0.904862787516792,0.6931534391534392,0.8666666666666666,0.52,0.8630952380952381,0.897474756543992
